state,zip_code,name,latitude,longitude,category
Braddock,15104,Emil's Lounge,40.408735,-79.8663507,American
Carnegie,15106,Alexion's Bar & Grill,40.415517,-80.067534,American
Carnegie,15106,Kings Family Restaurant,40.3877323,-80.0928745,American
Carnegie,15106,Shop N'save,40.3877323,-80.0928745,
Carnegie,15106,Rocky's Lounge,40.3964688,-80.0849416,American
Carnegie,15106,Gab & Eat,40.3967441,-80.0847998,
Carnegie,15106,Barb's Country Junction Cafe,40.404638,-80.089985,
Carnegie,15106,Paddy's Pour House,40.40867,-80.085279,Irish
Pittsburgh,15220,Denny's,40.391255,-80.073426,American
Homestead,15120,McDonald's,40.412086,-79.910032,
Homestead,15120,Starbucks,40.407091,-79.916958,
Munhall,15120,Steak 'n Shake,40.413496,-79.9044562,
Homestead,15120,Sing Sing,40.4094884,-79.9151108,
Homestead,15120,Duke's Upper Deck Cafe,40.405311,-79.912595,American
Homestead,15120,Rock Bottom,40.4094884,-79.9151108,American
Homestead,15120,Giant Eagle,40.411484,-79.90877,
West Homestead,15120,Bar Louie,40.4070709,-79.917508,American
Munhall,15120,The Dragon Chinese Cuisine,40.3867759,-79.9028194,Chinese
Homestead,15120,T.G.I. Friday's,40.4087041,-79.9175086,American
Homestead,15120,Eat'n Park Restaurant,40.4113236,-79.9132525,American
West Mifflin,15122,Shop 'n Save,40.3736775,-79.8737336,
West Mifflin,15122,McDonald's,40.3849854,-79.8626605,
McKeesport,15132,Minerva Bakery,40.35208,-79.854724,
McKees Rocks,15136,Marge's Place,40.472505,-80.074153,
McKees Rocks,15136,Applebee's,40.46562,-80.0656106,American
Pittsburgh,15202,McDonald's,40.492067,-80.06235,
Bellevue,15202,Lincoln Bakery,40.496068,-80.057219,
Pittsburgh,15204,Remember When,40.459082,-80.077006,
Pittsburgh,15206,Pistella Beer Distributors,40.463717,-79.931884,
Pittsburgh,15206,Giant Eagle,40.458577,-79.921053,
Pittsburgh,15206,Enrico's Tazza D'oro Cafe & Espresso Bar,40.474884,-79.918862,
Pittsburgh,15206,Buffalo Blues,40.4583902,-79.9255146,
Pittsburgh,15206,McDonald's,40.4584723,-79.9187095,
Pittsburgh,15206,Food Glorious Food,40.475405,-79.919627,
Pittsburgh,15206,Shadow Lounge,40.4605159,-79.925241,
Pittsburgh,15206,Whole Foods Market,40.45851065,-79.9288302,
Pittsburgh,15206,Casbah,40.458138,-79.924797,
Pittsburgh,15206,Quiet Storm Vegetarian & Vegan Cafe,40.464485,-79.935388,
Pittsburgh,15208,Frick Park Market,40.4472949,-79.90508,
Pittsburgh,15208,East End Food Co-Op,40.4481991,-79.8954753,
Pittsburgh,15210,Page Dairy Mart,40.4115087,-79.9558863,
Pittsburgh,15210,Kullman's Bakery,40.415053,-79.987206,
Pittsburgh,15210,Bishop's Pizza,40.393115,-79.986911,
Pittsburgh,15212,The Park House,40.4531335,-80.0013672,
Pittsburgh,15212,Max's Allegheny Tavern,40.455167,-79.999815,
Pittsburgh,15212,The Priory Hotel,40.4521309,-79.9981452,
Pittsburgh,15212,Key West,40.4959456,-79.9606482,
Pittsburgh,15212,Clark Bar & Grill,40.4489884,-80.0088714,American
Pittsburgh,15212,BreadWorks Bakery,40.4621686,-80.0190648,
Pittsburgh,15212,Teutonia Mannerchor,40.455167,-79.994957,
Pittsburgh,15212,Caruso Beer Distributor,40.4566994,-80.0105349,
Pittsburgh,15212,Giant Eagle,40.4509987,-80.0009426,
Pittsburgh,15212,Peanutz,40.4534984,-80.0012052,American
Pittsburgh,15212,The Isaly Company,40.4534946,-79.9993338,
Pittsburgh,15212,Tom Friday's Market,40.4812123,-80.0414427,
Pittsburgh,15214,Schorr Bakery,40.489973,-80.018177,
Pittsburgh,15216,Apple Inn,40.3949331,-80.0342686,
Pittsburgh,15216,Kuhn's Market,40.3996765,-80.0434133,
Mount Lebanon,15216,The Coffee Tree Roasters,40.3887221,-80.0496559,
Pittsburgh,15216,Huddle,40.409125,-80.024957,
