2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,16,192,743,1303,2511,3662,5722,5467,5480,5174,1148
0,21,185,682,1279,2351,3431,5755,4915,4963,4531,0
0,48,238,720,1393,2467,3793,6121,5485,5495,5363,0
0,52,234,791,1380,2817,3475,5762,5014,5138,5019,0
0,49,222,892,1431,2747,3470,5958,5066,5703,5251,0
0,46,263,938,1642,2910,4523,6059,5493,5756,5127,0
0,69,303,1093,1965,3127,5729,6718,5866,6046,5446,0
0,85,542,1103,1896,3448,5400,6144,5524,6120,4485,0
0,53,445,898,1798,2993,4552,5268,5472,5086,3250,0
33,68,455,893,1665,2652,4064,5466,5757,4855,2950,0
6,68,386,951,1836,2348,4060,5284,4873,4397,2176,0
12,116,509,972,1802,2597,4563,4953,4965,4444,1733,0
